# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
16.595879;-61.883021;39.878648;-0.781013;0.039191;6.528185;2.790848
16.795829;-61.740775;39.738621;-0.774499;0.026023;6.613113;2.829265
16.995779;-61.598141;39.599661;-0.770648;0.012619;6.698110;2.867773
17.195730;-61.455387;39.461280;-0.769484;-0.000930;6.783178;2.854288
17.395680;-61.312781;39.322992;-0.771020;-0.014535;6.866800;2.779708
17.595630;-61.170593;39.184311;-0.775256;-0.028105;6.947269;2.650671
17.795581;-61.029092;39.044750;-0.782181;-0.041545;7.023144;2.472773
17.995531;-60.888399;38.903817;-0.790136;-0.037092;7.093195;2.274359
18.195481;-60.748553;38.761646;-0.796958;-0.031340;7.157020;2.077764
18.395432;-60.609429;38.618428;-0.802646;-0.025644;7.214834;1.883051
18.595382;-60.470897;38.474350;-0.807206;-0.019997;7.266833;1.690304
18.795332;-60.332825;38.329597;-0.810645;-0.014390;7.313195;1.499623
18.995283;-60.195082;38.184352;-0.812967;-0.008813;7.354082;1.311124
19.195233;-60.057537;38.038803;-0.814175;-0.003256;7.389644;1.124924
19.395183;-59.920058;37.893134;-0.814271;0.002293;7.420020;0.941149
19.595134;-59.782514;37.747530;-0.813256;0.007844;7.445338;0.759925
19.795084;-59.644775;37.602177;-0.811129;0.013408;7.465719;0.581380
19.995035;-59.506735;37.457216;-0.808650;0.011247;7.481273;0.405640
20.194985;-59.368425;37.312623;-0.806628;0.008970;7.492107;0.232830
20.394935;-59.229902;37.168327;-0.805062;0.006687;7.498318;0.063076
20.594886;-59.091224;37.024257;-0.803953;0.004399;7.500000;0.000000
20.794836;-58.952451;36.880341;-0.803303;0.002107;7.500000;0.000000
20.994786;-58.813642;36.736508;-0.803111;-0.000187;7.500000;0.000000
21.194737;-58.674854;36.592687;-0.803377;-0.002482;7.500000;0.000000
21.394687;-58.536146;36.448806;-0.804103;-0.004777;7.500000;0.000000
21.594637;-58.397577;36.304795;-0.805287;-0.007072;7.500000;0.000000
21.794588;-58.259206;36.160582;-0.806928;-0.009122;7.500000;0.000000
21.994538;-58.121064;36.016127;-0.808423;-0.005834;7.500000;0.000000
22.194488;-57.983076;35.871497;-0.809261;-0.002547;7.500000;0.000000
22.394439;-57.845150;35.726784;-0.809441;0.000738;7.500000;0.000000
22.594389;-57.707191;35.582080;-0.808965;0.004022;7.500000;0.000000
22.794339;-57.569105;35.437475;-0.807833;0.007305;7.500000;0.000000
22.994290;-57.430798;35.293062;-0.806044;0.010587;7.500000;0.000000
23.194240;-57.292176;35.148931;-0.803599;0.013867;7.500000;0.000000
