# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
16.593119;-61.965033;39.136064;-0.782342;0.028081;6.867371;2.179070
16.793036;-61.823074;38.995666;-0.777715;0.018236;6.930515;2.201802
16.992954;-61.680886;38.856063;-0.775075;0.008246;6.993740;2.224611
17.192871;-61.538662;38.716880;-0.774435;-0.001832;7.057044;2.200679
17.392788;-61.396592;38.577748;-0.775805;-0.011943;7.119114;2.120711
17.592705;-61.254868;38.438294;-0.779183;-0.022029;7.178420;1.991208
17.792622;-61.113683;38.298147;-0.784562;-0.032031;7.233662;1.817328
17.992539;-60.973136;38.156932;-0.790858;-0.029623;7.283715;1.625266
18.192456;-60.833254;38.014716;-0.796353;-0.025478;7.328188;1.435308
18.392373;-60.693956;37.871645;-0.801030;-0.021369;7.367240;1.247570
18.592290;-60.555152;37.727857;-0.804893;-0.017292;7.401016;1.062173
18.792207;-60.416749;37.583490;-0.807945;-0.013240;7.429652;0.879244
18.992125;-60.278656;37.438681;-0.810191;-0.009209;7.453274;0.698909
19.192042;-60.140784;37.293569;-0.811632;-0.005191;7.471997;0.521295
19.391959;-60.003042;37.148291;-0.812270;-0.001180;7.485931;0.346529
19.591876;-59.865337;37.002984;-0.812104;0.002830;7.495180;0.174736
19.791793;-59.727580;36.857786;-0.811136;0.006847;7.499839;0.006038
19.991710;-59.589666;36.712786;-0.809769;0.006497;7.500000;0.000000
20.191627;-59.451612;36.568015;-0.808539;0.005796;7.500000;0.000000
20.391544;-59.313433;36.423449;-0.807450;0.005092;7.500000;0.000000
20.591461;-59.175142;36.279061;-0.806503;0.004386;7.500000;0.000000
20.791378;-59.036753;36.134823;-0.805697;0.003679;7.500000;0.000000
20.991296;-58.898277;35.990708;-0.805032;0.002971;7.500000;0.000000
21.191213;-58.759729;35.846689;-0.804509;0.002261;7.500000;0.000000
21.391130;-58.621122;35.702738;-0.804128;0.001551;7.500000;0.000000
21.591047;-58.482468;35.558828;-0.803889;0.000841;7.500000;0.000000
21.790964;-58.343781;35.414932;-0.803792;0.000131;7.500000;0.000000
21.990881;-58.205078;35.271028;-0.803814;-0.000341;7.500000;0.000000
22.190798;-58.066370;35.127101;-0.803929;-0.000808;7.500000;0.000000
22.390715;-57.927673;34.983139;-0.804137;-0.001274;7.500000;0.000000
22.590632;-57.789004;34.839132;-0.804438;-0.001740;7.500000;0.000000
22.790549;-57.650378;34.695069;-0.804833;-0.002207;7.500000;0.000000
22.990467;-57.511812;34.550941;-0.805320;-0.002673;7.500000;0.000000
23.190384;-57.373320;34.406737;-0.805902;-0.003140;7.500000;0.000000
23.390301;-57.234919;34.262446;-0.806576;-0.003607;7.500000;0.000000
23.590218;-57.096626;34.118059;-0.807344;-0.004074;7.500000;0.000000
23.790135;-56.958454;33.973564;-0.808205;-0.004447;7.500000;0.000000
23.990052;-56.820407;33.828965;-0.808868;-0.002192;7.500000;0.000000
24.189969;-56.682429;33.684311;-0.809081;0.000065;7.500000;0.000000
24.389886;-56.544452;33.539662;-0.808842;0.002322;7.500000;0.000000
24.589803;-56.406409;33.395079;-0.808153;0.004578;7.500000;0.000000
24.789720;-56.268233;33.250621;-0.807012;0.006835;7.500000;0.000000
24.989638;-56.129857;33.106350;-0.805420;0.009091;7.500000;0.000000
25.189555;-55.991213;32.962324;-0.803377;0.011345;7.500000;0.000000
25.389472;-55.852235;32.818605;-0.800884;0.013598;7.500000;0.000000
25.589389;-55.712855;32.675252;-0.797940;0.015849;7.500000;0.000000
