# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
17.194109;24.505672;22.702204;3.897984;0.013732;8.000000;0.000000
17.394040;24.360456;22.564768;3.901081;0.017248;8.000000;0.000000
17.593972;24.215701;22.426818;3.904881;0.020760;8.000000;0.000000
17.793903;24.071500;22.288249;3.909384;0.024267;8.000000;0.000000
17.993835;23.928033;22.149047;3.914454;0.024931;8.000000;0.000000
18.193766;23.785330;22.009208;3.919170;0.022275;8.000000;0.000000
18.393698;23.643222;21.868706;3.923356;0.019621;8.000000;0.000000
18.593629;23.501637;21.727619;3.927013;0.016972;8.000000;0.000000
18.793561;23.360505;21.586026;3.930142;0.014326;8.000000;0.000000
18.993492;23.219756;21.444006;3.932742;0.011684;8.000000;0.000000
19.193424;23.079319;21.301637;3.934815;0.009045;8.000000;0.000000
19.393355;22.939124;21.158998;3.936360;0.006409;8.000000;0.000000
19.593287;22.799100;21.016167;3.937379;0.003775;8.000000;0.000000
19.793218;22.659177;20.873224;3.937870;0.001142;8.000000;0.000000
19.993150;22.519280;20.730241;3.937828;-0.001644;8.000000;0.000000
20.193081;22.379333;20.587303;3.937204;-0.004589;8.000000;0.000000
20.393013;22.239263;20.444501;3.935992;-0.007535;8.000000;0.000000
20.592944;22.098992;20.301925;3.934190;-0.010484;8.000000;0.000000
20.792876;21.958440;20.159662;3.931798;-0.013436;8.000000;0.000000
20.992807;21.817530;20.017800;3.928816;-0.016393;8.000000;0.000000
21.192739;21.676182;19.876427;3.925243;-0.019353;8.000000;0.000000
21.392670;21.534317;19.735631;3.921078;-0.022319;8.000000;0.000000
21.592602;21.391858;19.595501;3.916322;-0.025288;8.000000;0.000000
21.792533;21.248725;19.456124;3.910973;-0.028262;8.000000;0.000000
21.992465;21.104750;19.317490;3.905278;-0.026445;8.000000;0.000000
22.192396;20.959990;19.179558;3.900605;-0.020295;8.000000;0.000000
22.392328;20.814688;19.042232;3.897163;-0.014136;8.000000;0.000000
22.592259;20.669009;18.905326;3.894953;-0.007973;8.000000;0.000000
22.792191;20.523118;18.768658;3.893976;-0.001808;8.000000;0.000000
22.992122;20.377179;18.632044;3.894230;0.004357;8.000000;0.000000
23.192054;20.231356;18.495300;3.895718;0.010521;8.000000;0.000000
23.391985;20.085813;18.358242;3.898437;0.016683;8.000000;0.000000
23.591917;19.940716;18.220687;3.902388;0.022838;8.000000;0.000000
23.791848;19.796227;18.082452;3.907569;0.028984;8.000000;0.000000
23.991780;19.652580;17.943439;3.913594;0.028410;8.000000;0.000000
24.191711;19.509745;17.803642;3.918711;0.022802;8.000000;0.000000
24.391643;19.367519;17.663164;3.922710;0.017204;8.000000;0.000000
24.591574;19.225751;17.522174;3.925591;0.011615;8.000000;0.000000
24.791506;19.084294;17.380836;3.927355;0.006031;8.000000;0.000000
24.991437;18.942997;17.239319;3.928003;0.000451;8.000000;0.000000
25.191369;18.801713;17.097788;3.927535;-0.005129;8.000000;0.000000
25.391300;18.660292;16.956411;3.925951;-0.010712;8.000000;0.000000
25.591232;18.518584;16.815353;3.923251;-0.016301;8.000000;0.000000
25.791163;18.376442;16.674781;3.919433;-0.021897;8.000000;0.000000
25.991095;18.233655;16.534785;3.914815;-0.022207;8.000000;0.000000
26.191026;18.090231;16.395404;3.910686;-0.019084;8.000000;0.000000
26.390958;17.946299;16.256592;3.907183;-0.015955;8.000000;0.000000
26.590889;17.801941;16.118256;3.904306;-0.012823;8.000000;0.000000
26.790821;17.657241;15.980302;3.902055;-0.009689;8.000000;0.000000
26.990752;17.512283;15.842637;3.900432;-0.006552;8.000000;0.000000
27.190684;17.367150;15.705167;3.899436;-0.003415;8.000000;0.000000
27.390615;17.221927;15.567799;3.899067;-0.000277;8.000000;0.000000
27.590547;17.076695;15.430440;3.899325;0.002861;8.000000;0.000000
27.790478;16.931540;15.292995;3.900211;0.005999;8.000000;0.000000
27.990410;16.786530;15.155369;3.901508;0.005821;8.000000;0.000000
28.190341;16.641669;15.017567;3.902476;0.003865;8.000000;0.000000
28.390273;16.496911;14.879649;3.903053;0.001909;8.000000;0.000000
28.590204;16.352204;14.741674;3.903239;-0.000046;8.000000;0.000000
28.790136;16.207496;14.603701;3.903035;-0.002001;8.000000;0.000000
28.990067;16.062734;14.465788;3.902439;-0.003957;8.000000;0.000000
29.189999;15.917867;14.327992;3.901452;-0.005913;8.000000;0.000000
29.389930;15.772842;14.190373;3.900075;-0.007870;8.000000;0.000000
29.589862;15.627607;14.052988;3.898306;-0.009827;8.000000;0.000000
29.789793;15.482110;13.915896;3.896145;-0.011785;8.000000;0.000000
29.989725;15.336297;13.779134;3.893886;-0.009533;8.000000;0.000000
30.189656;15.190225;13.642650;3.892390;-0.005438;8.000000;0.000000
30.389588;15.044008;13.506328;3.891712;-0.001343;8.000000;0.000000
30.589519;14.897756;13.370047;3.891853;0.002753;8.000000;0.000000
30.789451;14.751577;13.233683;3.892813;0.006849;8.000000;0.000000
30.989382;14.605580;13.097115;3.894591;0.010944;8.000000;0.000000
31.189314;14.459875;12.960221;3.897188;0.015036;8.000000;0.000000
31.389245;14.314571;12.822880;3.900604;0.019125;8.000000;0.000000
31.589177;14.169777;12.684968;3.904836;0.023209;8.000000;0.000000
31.789108;14.025602;12.546363;3.909886;0.027286;8.000000;0.000000
31.989040;13.882252;12.407073;3.915264;0.024851;8.000000;0.000000
32.188971;13.739604;12.267081;3.919762;0.020156;8.000000;0.000000
32.388903;13.597493;12.126489;3.923322;0.015468;8.000000;0.000000
32.588834;13.455794;11.985435;3.925947;0.010786;8.000000;0.000000
32.788766;13.314384;11.844059;3.927636;0.006110;8.000000;0.000000
32.988697;13.173137;11.702500;3.928390;0.001436;8.000000;0.000000
33.188629;13.031928;11.560899;3.928210;-0.003237;8.000000;0.000000
33.388560;12.890632;11.419394;3.927096;-0.007912;8.000000;0.000000
33.588492;12.749126;11.278126;3.925046;-0.012591;8.000000;0.000000
33.788423;12.607283;11.137233;3.922061;-0.017274;8.000000;0.000000
33.988355;12.464913;10.996763;3.918503;-0.017252;8.000000;0.000000
34.188286;12.322059;10.856785;3.915190;-0.015877;8.000000;0.000000
34.388218;12.178781;10.717281;3.912152;-0.014500;8.000000;0.000000
34.588149;12.035117;10.578209;3.909391;-0.013121;8.000000;0.000000
34.788081;11.891102;10.439528;3.906906;-0.011740;8.000000;0.000000
34.988012;11.746775;10.301198;3.904697;-0.010358;8.000000;0.000000
35.187944;11.602172;10.163176;3.902765;-0.008975;8.000000;0.000000
35.387875;11.457329;10.025421;3.901109;-0.007591;8.000000;0.000000
35.587807;11.312284;9.887893;3.899730;-0.006207;8.000000;0.000000
35.787738;11.167074;9.750549;3.898628;-0.004822;8.000000;0.000000
35.987670;11.021696;9.613314;3.897790;-0.003590;8.000000;0.000000
36.187601;10.876214;9.476177;3.897192;-0.002392;8.000000;0.000000
36.387533;10.730668;9.339111;3.896834;-0.001193;8.000000;0.000000
36.587464;10.585090;9.202081;3.896715;0.000005;8.000000;0.000000
36.787396;10.439512;9.065051;3.896836;0.001204;8.000000;0.000000
36.987327;10.293967;8.927985;3.897196;0.002402;8.000000;0.000000
37.187259;10.148485;8.790847;3.897796;0.003600;8.000000;0.000000
37.387190;10.003099;8.653601;3.898636;0.004798;8.000000;0.000000
37.587122;9.857841;8.516213;3.899715;0.005996;8.000000;0.000000
37.787053;9.712742;8.378645;3.901033;0.007193;8.000000;0.000000
37.986985;9.567840;8.240887;3.902349;0.005586;8.000000;0.000000
38.186916;9.423089;8.102965;3.903261;0.003543;8.000000;0.000000
38.386847;9.278433;7.964937;3.903765;0.001500;8.000000;0.000000
38.586779;9.133816;7.826864;3.903861;-0.000542;8.000000;0.000000
38.786710;8.989185;7.688807;3.903548;-0.002585;8.000000;0.000000
38.986642;8.844486;7.550828;3.902827;-0.004628;8.000000;0.000000
39.186573;8.699664;7.412987;3.901698;-0.006671;8.000000;0.000000
39.386505;8.554664;7.275346;3.900160;-0.008715;8.000000;0.000000
39.586436;8.409433;7.137965;3.898213;-0.010760;8.000000;0.000000
39.786368;8.263916;7.000905;3.895858;-0.012807;8.000000;0.000000
39.986299;8.118059;6.864187;3.893601;-0.009265;8.000000;0.000000
40.186231;7.971955;6.727744;3.892158;-0.005169;8.000000;0.000000
40.386162;7.825713;6.591455;3.891534;-0.001073;8.000000;0.000000
40.586094;7.679442;6.455197;3.891729;0.003023;8.000000;0.000000
40.786025;7.533251;6.318848;3.892743;0.007119;8.000000;0.000000
40.985957;7.387248;6.182287;3.894576;0.011213;8.000000;0.000000
41.185888;7.241542;6.045389;3.897227;0.015305;8.000000;0.000000
41.385820;7.096243;5.908034;3.900696;0.019393;8.000000;0.000000
41.585751;6.951458;5.770098;3.904982;0.023476;8.000000;0.000000
41.785683;6.807296;5.631458;3.910085;0.027550;8.000000;0.000000
41.985614;6.663968;5.492170;3.915134;0.022577;8.000000;0.000000
42.185546;6.521246;5.352213;3.919109;0.017198;8.000000;0.000000
42.385477;6.378980;5.211740;3.922010;0.011828;8.000000;0.000000
42.585409;6.237027;5.070912;3.923839;0.006464;8.000000;0.000000
42.785340;6.095246;4.929889;3.924595;0.001103;8.000000;0.000000
42.985272;5.953492;4.788833;3.924280;-0.004257;8.000000;0.000000
43.185203;5.811624;4.647902;3.922893;-0.009619;8.000000;0.000000
43.385135;5.669499;4.507258;3.920433;-0.014985;8.000000;0.000000
43.585066;5.526974;4.367061;3.916900;-0.020359;8.000000;0.000000
43.784998;5.383906;4.227472;3.912293;-0.025740;8.000000;0.000000
43.984929;5.240077;4.088489;3.907566;-0.021452;8.000000;0.000000
