# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
17.190532;28.097452;39.697870;-0.502671;-0.004908;8.000000;0.000000
17.390422;28.272461;39.601500;-0.504205;-0.010454;8.000000;0.000000
17.590312;28.447251;39.504775;-0.506848;-0.016000;8.000000;0.000000
17.790202;28.621724;39.407496;-0.510598;-0.021543;8.000000;0.000000
17.990092;28.795786;39.309461;-0.515440;-0.025785;8.000000;0.000000
18.189982;28.969400;39.210557;-0.520014;-0.020001;8.000000;0.000000
18.389872;29.142640;39.110948;-0.523433;-0.014221;8.000000;0.000000
18.589762;29.315617;39.010835;-0.525698;-0.008446;8.000000;0.000000
18.789652;29.488443;38.910418;-0.526809;-0.002674;8.000000;0.000000
18.989542;29.661231;38.809901;-0.526767;0.003095;8.000000;0.000000
19.189431;29.834092;38.709484;-0.525572;0.008863;8.000000;0.000000
19.389321;30.007139;38.609368;-0.523224;0.014629;8.000000;0.000000
19.589211;30.180484;38.509756;-0.519722;0.020396;8.000000;0.000000
19.789101;30.354239;38.410849;-0.515068;0.026162;8.000000;0.000000
19.988991;30.528499;38.312857;-0.509278;0.030660;8.000000;0.000000
20.188881;30.703244;38.215950;-0.503525;0.026925;8.000000;0.000000
20.388771;30.878524;38.119975;-0.498518;0.023191;8.000000;0.000000
20.588661;31.054264;38.024805;-0.494256;0.019458;8.000000;0.000000
20.788551;31.230392;37.930309;-0.490739;0.015728;8.000000;0.000000
20.988441;31.406833;37.836358;-0.487968;0.012001;8.000000;0.000000
21.188331;31.583513;37.742823;-0.485941;0.008276;8.000000;0.000000
21.388220;31.760358;37.649575;-0.484659;0.004552;8.000000;0.000000
21.588110;31.937296;37.556483;-0.484121;0.000830;8.000000;0.000000
21.788000;32.114252;37.463420;-0.484327;-0.002891;8.000000;0.000000
21.987890;32.291151;37.370256;-0.485263;-0.005607;8.000000;0.000000
22.187780;32.467943;37.276928;-0.486062;-0.002396;8.000000;0.000000
22.387670;32.644685;37.183518;-0.486220;0.000816;8.000000;0.000000
22.587560;32.821436;37.090140;-0.485736;0.004028;8.000000;0.000000
22.787450;32.998256;36.996908;-0.484610;0.007241;8.000000;0.000000
22.987340;33.175205;36.903935;-0.482841;0.010454;8.000000;0.000000
23.187230;33.352343;36.811334;-0.480431;0.013668;8.000000;0.000000
23.387120;33.529728;36.719220;-0.477378;0.016881;8.000000;0.000000
23.587010;33.707421;36.627707;-0.473682;0.020094;8.000000;0.000000
23.786899;33.885482;36.536906;-0.469345;0.023305;8.000000;0.000000
23.986789;34.063961;36.446938;-0.464382;0.025505;8.000000;0.000000
24.186679;34.242846;36.357876;-0.459608;0.022276;8.000000;0.000000
24.386569;34.422141;36.269605;-0.455479;0.019047;8.000000;0.000000
24.586459;34.601786;36.182009;-0.451995;0.015819;8.000000;0.000000
24.786349;34.781722;36.094974;-0.449155;0.012594;8.000000;0.000000
24.986239;34.961891;36.008386;-0.446960;0.009370;8.000000;0.000000
25.186129;35.142232;35.922130;-0.445409;0.006147;8.000000;0.000000
25.386019;35.322689;35.836091;-0.444502;0.002926;8.000000;0.000000
25.585909;35.503201;35.750156;-0.444239;-0.000294;8.000000;0.000000
25.785799;35.683710;35.664209;-0.444620;-0.003514;8.000000;0.000000
25.985688;35.864164;35.578132;-0.445640;-0.006476;8.000000;0.000000
26.185578;36.044540;35.491813;-0.447100;-0.008128;8.000000;0.000000
26.385468;36.224768;35.405204;-0.448891;-0.009780;8.000000;0.000000
26.585358;36.404813;35.318250;-0.451011;-0.011435;8.000000;0.000000
26.785248;36.584643;35.230891;-0.453463;-0.013090;8.000000;0.000000
26.985138;36.764227;35.143071;-0.456245;-0.014747;8.000000;0.000000
27.185028;36.943530;35.054732;-0.459359;-0.016406;8.000000;0.000000
27.384918;37.122521;34.965816;-0.462804;-0.018067;8.000000;0.000000
27.584808;37.301166;34.876266;-0.466580;-0.019729;8.000000;0.000000
27.784698;37.479434;34.786025;-0.470688;-0.021393;8.000000;0.000000
27.984588;37.657334;34.695012;-0.475098;-0.021278;8.000000;0.000000
28.184477;37.835047;34.603182;-0.478505;-0.012787;8.000000;0.000000
28.384367;38.012500;34.510911;-0.480213;-0.004290;8.000000;0.000000
28.584257;38.189845;34.418502;-0.480221;0.004212;8.000000;0.000000
28.784147;38.367235;34.326260;-0.478528;0.012723;8.000000;0.000000
28.984037;38.544822;34.234488;-0.475133;0.021244;8.000000;0.000000
29.183927;38.722759;34.143491;-0.470035;0.029775;8.000000;0.000000
29.383817;38.901197;34.053573;-0.463233;0.038311;8.000000;0.000000
29.583707;39.080289;33.965038;-0.454727;0.046848;8.000000;0.000000
29.783597;39.260188;33.878189;-0.444516;0.055372;8.000000;0.000000
29.983487;39.441012;33.793346;-0.432662;0.061155;8.000000;0.000000
30.183377;39.622747;33.710718;-0.420961;0.056064;8.000000;0.000000
30.383267;39.805449;33.630105;-0.410273;0.050973;8.000000;0.000000
30.583156;39.989024;33.551330;-0.400599;0.045890;8.000000;0.000000
30.783046;40.173378;33.474215;-0.391935;0.040818;8.000000;0.000000
30.982936;40.358420;33.398580;-0.384281;0.035762;8.000000;0.000000
31.182826;40.544054;33.324247;-0.377635;0.030721;8.000000;0.000000
31.382716;40.730189;33.251037;-0.371993;0.025697;8.000000;0.000000
31.582606;40.916730;33.178773;-0.367353;0.020686;8.000000;0.000000
31.782496;41.103585;33.107275;-0.363715;0.015685;8.000000;0.000000
31.982386;41.290649;33.036369;-0.361050;0.011959;8.000000;0.000000
32.182276;41.477832;32.965951;-0.358568;0.012852;8.000000;0.000000
32.382166;41.665175;32.896021;-0.355909;0.013746;8.000000;0.000000
32.582056;41.852687;32.826615;-0.353071;0.014640;8.000000;0.000000
32.781945;42.040379;32.757766;-0.350055;0.015536;8.000000;0.000000
32.981835;42.228260;32.689509;-0.346860;0.016432;8.000000;0.000000
33.181725;42.416342;32.621878;-0.343486;0.017328;8.000000;0.000000
33.381615;42.604634;32.554907;-0.339933;0.018226;8.000000;0.000000
33.581505;42.793147;32.488629;-0.336202;0.019123;8.000000;0.000000
33.781395;42.981890;32.423080;-0.332291;0.020021;8.000000;0.000000
33.981285;43.170905;32.358283;-0.328202;0.020864;8.000000;0.000000
34.181175;43.360274;32.294244;-0.323966;0.021519;8.000000;0.000000
34.381065;43.549902;32.231026;-0.319599;0.022174;8.000000;0.000000
34.580955;43.739799;32.168652;-0.315101;0.022827;8.000000;0.000000
34.780845;43.929971;32.107147;-0.310474;0.023478;8.000000;0.000000
34.980734;44.120428;32.046536;-0.305716;0.024128;8.000000;0.000000
35.180624;44.311177;31.986843;-0.300829;0.024776;8.000000;0.000000
35.380514;44.502228;31.928094;-0.295812;0.025422;8.000000;0.000000
35.580404;44.693588;31.870311;-0.290666;0.026065;8.000000;0.000000
35.780294;44.885265;31.813522;-0.285391;0.026705;8.000000;0.000000
35.980184;45.077225;31.757760;-0.280014;0.026357;8.000000;0.000000
36.180074;45.269373;31.703029;-0.275080;0.023034;8.000000;0.000000
36.379964;45.461802;31.649174;-0.270809;0.019715;8.000000;0.000000
36.579854;45.654472;31.596069;-0.267200;0.016399;8.000000;0.000000
36.779744;45.847342;31.543588;-0.264253;0.013087;8.000000;0.000000
36.979634;46.040371;31.491606;-0.261968;0.009778;8.000000;0.000000
37.179523;46.233520;31.439996;-0.260344;0.006472;8.000000;0.000000
37.379413;46.426747;31.388634;-0.259380;0.003168;8.000000;0.000000
37.579303;46.620012;31.337392;-0.259077;-0.000136;8.000000;0.000000
37.779193;46.813276;31.286145;-0.259434;-0.003439;8.000000;0.000000
37.979083;47.006513;31.234764;-0.260405;-0.004918;8.000000;0.000000
38.178973;47.199739;31.183201;-0.261017;-0.001198;8.000000;0.000000
38.378863;47.392937;31.131597;-0.260884;0.002523;8.000000;0.000000
38.578753;47.586141;31.080096;-0.260008;0.006246;8.000000;0.000000
38.778643;47.779387;31.028841;-0.258387;0.009972;8.000000;0.000000
38.978533;47.972709;30.977979;-0.256021;0.013700;8.000000;0.000000
39.178423;48.166143;30.927654;-0.252909;0.017432;8.000000;0.000000
39.378313;48.359723;30.878009;-0.249053;0.021166;8.000000;0.000000
39.578202;48.553484;30.829191;-0.244450;0.024903;8.000000;0.000000
39.778092;48.747463;30.781343;-0.239101;0.028641;8.000000;0.000000
39.977982;48.941723;30.734603;-0.233030;0.031481;8.000000;0.000000
40.177872;49.136340;30.689062;-0.226691;0.031948;8.000000;0.000000
40.377762;49.331235;30.644766;-0.220259;0.032414;8.000000;0.000000
40.577652;49.526408;30.601735;-0.213734;0.032878;8.000000;0.000000
40.777542;49.721859;30.559988;-0.207117;0.033341;8.000000;0.000000
40.977432;49.917589;30.519542;-0.200407;0.033801;8.000000;0.000000
41.177322;50.113598;30.480418;-0.193605;0.034260;8.000000;0.000000
41.377212;50.309887;30.442635;-0.186712;0.034715;8.000000;0.000000
41.577102;50.506455;30.406210;-0.179726;0.035167;8.000000;0.000000
41.776991;50.703303;30.371162;-0.172650;0.035616;8.000000;0.000000
41.976881;50.900363;30.337522;-0.165536;0.034349;8.000000;0.000000
