# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
16.594702;-9.437879;68.496813;-1.017240;-0.007520;7.500000;0.000000
16.794638;-9.332876;68.326687;-1.018228;-0.002366;7.500000;0.000000
16.994575;-9.227954;68.156512;-1.018186;0.002788;7.500000;0.000000
17.194511;-9.122936;67.986395;-1.017113;0.007943;7.500000;0.000000
17.394447;-9.017646;67.816441;-1.015010;0.013096;7.500000;0.000000
17.594383;-8.911907;67.646754;-1.011877;0.018246;7.500000;0.000000
17.794319;-8.805540;67.477442;-1.007714;0.023392;7.500000;0.000000
17.994255;-8.698399;67.308648;-1.002628;0.025447;7.500000;0.000000
18.194192;-8.590450;67.140448;-0.997939;0.021483;7.500000;0.000000
18.394128;-8.481764;66.972687;-0.994040;0.017523;7.500000;0.000000
18.594064;-8.372475;66.805285;-0.990932;0.013568;7.500000;0.000000
18.794000;-8.262720;66.638160;-0.988615;0.009616;7.500000;0.000000
18.993936;-8.152634;66.471232;-0.987087;0.005668;7.500000;0.000000
19.193872;-8.042353;66.304419;-0.986348;0.001721;7.500000;0.000000
19.393809;-7.932012;66.137641;-0.986398;-0.002225;7.500000;0.000000
19.593745;-7.821747;65.970817;-0.987238;-0.006172;7.500000;0.000000
19.793681;-7.711694;65.803866;-0.988867;-0.010121;7.500000;0.000000
19.993617;-7.601976;65.636689;-0.991216;-0.012183;7.500000;0.000000
20.193553;-7.492648;65.469236;-0.993537;-0.011036;7.500000;0.000000
20.393489;-7.383698;65.301555;-0.995629;-0.009887;7.500000;0.000000
20.593426;-7.275089;65.133672;-0.997491;-0.008738;7.500000;0.000000
20.793362;-7.166779;64.965609;-0.999123;-0.007588;7.500000;0.000000
20.993298;-7.058730;64.797391;-1.000525;-0.006437;7.500000;0.000000
21.193234;-6.950903;64.629040;-1.001697;-0.005286;7.500000;0.000000
21.393170;-6.843257;64.460582;-1.002639;-0.004134;7.500000;0.000000
21.593106;-6.735753;64.292040;-1.003350;-0.002983;7.500000;0.000000
21.793043;-6.628351;64.123436;-1.003831;-0.001831;7.500000;0.000000
21.992979;-6.521001;63.954776;-1.004103;-0.001189;7.500000;0.000000
