#x_m,y_m,w_tr_right_m,w_tr_left_m
-15.593537698314663,-5.250904624538293,1.1461646096066227,1.254775286859216
-15.843537698314663,-5.250904624538293,1.1934435979977454,1.2068700165228052
-15.906037698314663,-5.188404624538293,1.1461646096066227,1.254775286859216
-16.218537698314663,-5.188404624538293,1.1934435979977454,1.1934435979977454
-16.281037698314663,-5.125904624538293,1.1461646096066227,1.2441183047457383
-16.531037698314663,-5.125904624538293,1.1934435979977454,1.1934435979977454
-16.593537698314663,-5.063404624538293,1.1461646096066227,1.2441183047457383
-16.843537698314663,-5.063404624538293,1.1934435979977454,1.1934435979977454
-16.906037698314663,-5.000904624538293,1.1461646096066227,1.2441183047457383
-17.156037698314663,-5.000904624538293,1.1934435979977454,1.2068700165228052
-17.218537698314663,-4.938404624538293,1.1461646096066227,1.254775286859216
-17.468537698314663,-4.938404624538293,1.1934435979977454,1.2068700165228052
-17.531037698314663,-4.875904624538293,1.1461646096066227,1.254775286859216
-17.843537698314663,-4.875904624538293,1.1934435979977454,1.1934435979977454
-17.906037698314663,-4.813404624538293,1.1461646096066227,1.2441183047457383
-18.156037698314663,-4.813404624538293,1.1934435979977454,1.1934435979977454
-18.218537698314663,-4.750904624538293,1.1461646096066227,1.2441183047457383
-18.468537698314663,-4.750904624538293,1.1934435979977454,1.1934435979977454
-18.531037698314663,-4.688404624538293,1.1461646096066227,1.2441183047457383
-18.781037698314663,-4.688404624538293,1.1934435979977454,1.2068700165228052
-18.843537698314663,-4.625904624538293,1.1461646096066227,1.254775286859216
-19.093537698314663,-4.625904624538293,1.1934435979977454,1.2068700165228052
-19.156037698314663,-4.563404624538293,1.1461646096066227,1.254775286859216
-19.406037698314663,-4.563404624538293,1.1934435979977454,1.2068700165228052
-19.468537698314663,-4.500904624538293,1.1461646096066227,1.254775286859216
-19.781037698314663,-4.500904624538293,1.1934435979977454,1.1934435979977454
-19.843537698314663,-4.438404624538293,1.1461646096066227,1.2441183047457383
-20.093537698314663,-4.438404624538293,1.1934435979977454,1.1934435979977454
-20.156037698314663,-4.375904624538293,1.1461646096066227,1.2441183047457383
-20.406037698314663,-4.375904624538293,1.1934435979977454,1.2068700165228052
-20.468537698314663,-4.313404624538293,1.1461646096066227,1.254775286859216
-20.718537698314663,-4.313404624538293,1.1934435979977454,1.2068700165228052
-20.781037698314663,-4.250904624538293,1.1461646096066227,1.254775286859216
-21.031037698314663,-4.250904624538293,1.1934435979977454,1.2068700165228052
-21.093537698314663,-4.188404624538293,1.1461646096066227,1.254775286859216
-21.406037698314663,-4.188404624538293,1.1934435979977454,1.1934435979977454
-21.468537698314663,-4.125904624538293,1.1461646096066227,1.2441183047457383
-21.718537698314663,-4.125904624538293,1.1934435979977454,1.1934435979977454
-21.781037698314663,-4.063404624538293,1.1461646096066227,1.2441183047457383
-22.031037698314663,-4.063404624538293,1.1934435979977454,1.1934435979977454
-22.093537698314663,-4.000904624538293,1.1461646096066227,1.2441183047457383
-22.343537698314663,-4.000904624538293,1.1934435979977454,1.2068700165228052
-22.406037698314663,-3.9384046245382933,1.1461646096066227,1.254775286859216
-22.656037698314663,-3.9384046245382933,1.1934435979977454,1.2068700165228052
-22.718537698314663,-3.8759046245382933,1.1461646096066227,1.254775286859216
-22.968537698314663,-3.8759046245382933,1.1934435979977454,1.2068700165228052
-23.031037698314663,-3.8134046245382933,1.1461646096066227,1.254775286859216
-23.218537698314663,-3.8134046245382933,1.1934435979977454,1.2068700165228052
-23.281037698314663,-3.7509046245382933,1.1461646096066227,1.254775286859216
-23.468537698314663,-3.7509046245382933,1.1934435979977454,1.2068700165228052
-23.531037698314663,-3.6884046245382933,1.1461646096066227,1.254775286859216
-23.718537698314663,-3.6884046245382933,1.202000702247037,1.2068700165228052
-23.781037698314663,-3.6259046245382933,1.1625,1.2500473478055105
-23.906037698314663,-3.6259046245382933,1.202000702247037,1.1934435979977454
-23.968537698314663,-3.5634046245382933,1.1674920254980568,1.225
-24.093537698314663,-3.5634046245382933,1.2213902213841057,1.1811388300841896
-24.156037698314663,-3.5009046245382933,1.1811388300841896,1.2213902213841057
-24.218537698314663,-3.5009046245382933,1.202000702247037,1.1934435979977454
-24.281037698314663,-3.4384046245382933,1.1674920254980568,1.225
-24.406037698314663,-3.4384046245382933,1.2213902213841057,1.1811388300841896
-24.468537698314663,-3.3759046245382933,1.1811388300841896,1.2225943732183961
-24.531037698314663,-3.3759046245382933,1.202000702247037,1.202000702247037
-24.593537698314663,-3.3134046245382933,1.1625,1.2405505935508359
-24.718537698314663,-3.3134046245382933,1.202000702247037,1.1934435979977454
-24.781037698314663,-3.2509046245382933,1.1674920254980568,1.225
-24.906037698314663,-3.2509046245382933,1.2213902213841057,1.1811388300841896
-24.968537698314663,-3.1884046245382933,1.1811388300841896,1.2225943732183961
-25.031037698314663,-3.1884046245382933,1.202000702247037,1.202000702247037
-25.093537698314663,-3.1259046245382933,1.1625,1.2405505935508359
-25.218537698314663,-3.1259046245382933,1.1934435979977454,1.202000702247037
-25.281037698314663,-3.0634046245382933,1.1461646096066227,1.2405505935508359
-25.468537698314663,-3.0634046245382933,1.202000702247037,1.1934435979977454
-25.531037698314663,-3.0009046245382933,1.1625,1.2405505935508359
-25.656037698314663,-3.0009046245382933,1.202000702247037,1.202000702247037
-25.718537698314663,-2.9384046245382933,1.1625,1.2405505935508359
-25.843537698314663,-2.9384046245382933,1.1934435979977454,1.2068700165228052
-25.906037698314663,-2.8759046245382933,1.1461646096066227,1.254775286859216
-26.156037698314663,-2.8759046245382933,1.1934435979977454,1.1934435979977454
-26.218537698314663,-2.8134046245382933,1.1461646096066227,1.2441183047457383
-26.406037698314663,-2.8134046245382933,1.1934435979977454,1.2068700165228052
-26.468537698314663,-2.7509046245382933,1.1461646096066227,1.254775286859216
-26.781037698314663,-2.7509046245382933,1.1934435979977454,1.1934435979977454
-26.843537698314663,-2.6884046245382933,1.1461646096066227,1.2441183047457383
-27.281037698314663,-2.6884046245382933,1.2068700165228052,1.2068700165228052
-27.343537698314663,-2.6259046245382933,1.1625,1.254775286859216
-28.343537698314663,-2.6259046245382933,1.1625,1.254775286859216
-28.406037698314663,-2.6884046245382933,1.2068700165228052,1.2068700165228052
-28.781037698314663,-2.6884046245382933,1.1461646096066227,1.2441183047457383
