epoch,total_loss,steering_loss,weighted_speed_loss
1,0.08379944671729678,0.028814851798999466,0.054984595258965305
2,0.01297760797958625,0.0040100170421953265,0.008967590956997715
3,0.009438466142225814,0.0033362665354568317,0.006102199591910711
4,0.007865724822898445,0.0025058984499130594,0.005359826393817601
5,0.007576122169235819,0.0024279249145796426,0.005148197257107026
6,0.0074143113249814825,0.002607273989308037,0.004807037355280236
7,0.006614893274136672,0.0020787646024377623,0.004536128670320307
8,0.006545072493731583,0.002252720555253817,0.0042923519302061515
9,0.006184945431979079,0.0020285071584543114,0.004156438282102739
10,0.006022426522778053,0.0019792447215877472,0.004043181805479292
11,0.005964219515015812,0.001958565342417722,0.004005654188069074
12,0.005706543168420658,0.0019063237859977802,0.0038002194003447106
13,0.00553301834795428,0.0018149681652032182,0.00371805019309058
14,0.005497264423358597,0.0018495503813028336,0.0036477140432811883
15,0.006625374949439183,0.002830143460213501,0.0037952314804945335
16,0.005320100519364994,0.0017645004301907886,0.0035556000813621244
17,0.005214941881499008,0.00175636290437787,0.0034585789838609726
18,0.0053488859971127425,0.0018963324008310384,0.0034525535902694654
19,0.00496402658571146,0.0016189165558515876,0.0033451100446798498
20,0.004927810807222206,0.001617977243701094,0.003309833569035522
21,0.005821252599554626,0.0023774651841162457,0.003443787425548132
22,0.005111627062586577,0.00186456367649187,0.003247063403403828
23,0.004784865514375269,0.0015663785604135083,0.003218486955953076
24,0.005037262890561435,0.001593919956097747,0.0034433429307108255
25,0.004620177290206285,0.0015175341953229354,0.0031026430789528317
26,0.0045840450832130095,0.0015357056859341498,0.003048339394215298
27,0.004752175013020047,0.001481928133963313,0.003270246897897634
28,0.004424741575004239,0.00145814792302094,0.0029665936654629677
29,0.004389820575076891,0.0014633155826136077,0.002926504995526844
30,0.004346354271585465,0.0014200117569998839,0.0029263425146238754
31,0.004273190748828807,0.0014275433103504934,0.002845647429900342
32,0.004265021747835961,0.0014047401871434167,0.002860281574478569
33,0.004212925923792155,0.001399238335618161,0.0028136875854167893
34,0.004701473549204437,0.001587228192396364,0.0031142453623224835
35,0.004189843566181432,0.0013791310466139725,0.0028107125220183087
36,0.004078649599595289,0.0013547796327130575,0.002723869978523764
37,0.004417546633722898,0.0017256215137374392,0.002691925112939268
38,0.004017263777112883,0.0013054374210217869,0.002711826357622876
39,0.004013133095577359,0.0013080771493198546,0.002705055944572546
40,0.003871212515514344,0.001232134700617998,0.0026390778197980438
41,0.0038808760441545595,0.0012723821304174827,0.0026084939154220354
42,0.0038058780697419457,0.0012081067258565637,0.0025977713472552988
43,0.004892954578329074,0.0016911440032632335,0.0032018105646497326
44,0.0038507213387148163,0.0012314705603976588,0.0026192507822997866
45,0.0041906385633506274,0.0015537906294124887,0.0026368479366953436
46,0.004695036879887707,0.0017038789222409067,0.0029911579423289943
47,0.0044217066018302975,0.0018010936156650514,0.0026206129812635483
48,0.003988100299121518,0.0014056136457886743,0.0025824866453675846
49,0.0038632926727203945,0.0012199379319913293,0.002643354731538382
50,0.003812767390627414,0.0012387486291117965,0.0025740187564607417
51,0.0035271864604989166,0.001120928311597948,0.002406258158091652
52,0.0034356762097511244,0.001114884716624051,0.0023207914984883053
53,0.0034274289427374148,0.0011265370722149351,0.0023008918683779865
54,0.0034170186600500814,0.001119746678006394,0.002297271983575468
55,0.0033671876087809274,0.0010815087999952466,0.0022856788142809436
56,0.0033356178551912307,0.0011139349094408221,0.002221682950192572
57,0.003349375225432021,0.0010811653104610742,0.0022682099088438246
58,0.0033256713974926817,0.0010895733508636783,0.0022360980522965913
59,0.003231461001805177,0.0010583376619156058,0.002173123342646776
60,0.0034079223135976416,0.0012151601877504665,0.0021927621286043798
61,0.0035216654004455593,0.0011674158704025966,0.002354249530349319
62,0.003167843849912874,0.0010262578467709798,0.002141586007354291
63,0.003180346614681184,0.0010331169536680375,0.0021472296610131466
64,0.003384883576195295,0.0011204947011336978,0.0022643888813418975
65,0.003059726002577104,0.0010218360229995787,0.0020378899827942646
66,0.0032329193484895912,0.0010450725041568818,0.002187846841192559
67,0.0029873759902425503,0.0009571170572215985,0.002030258933633664
68,0.003189505708992089,0.0010878048426667718,0.0021017008669380294
69,0.0032726291092235204,0.0010277236291011305,0.002244905475297281
70,0.0028485159735857067,0.0009162176437951673,0.0019322983444956328
71,0.0028503245533149884,0.0009456091523660641,0.0019047154064633345
72,0.002863667095325103,0.000959298145148511,0.001904368942058155
73,0.002846835587957972,0.000955821525023662,0.001891014063240666
74,0.0029016464948654177,0.0009244202427860154,0.001977226255142963
75,0.0028804156273652456,0.0009414679983532743,0.0019389476406535037
76,0.0033580524859165677,0.001270204476129852,0.0020878480122375645
77,0.0027528035717918294,0.0008986929878837576,0.0018541105917201524
78,0.002742808228848796,0.0009170014812537518,0.0018258067558666593
79,0.0033597936522901843,0.0010031861976083172,0.0023566074510055937
80,0.0028036107382688083,0.0009229233960228923,0.001880687337037862
81,0.0026585480173755634,0.0008588340886298714,0.0017997139354089373
82,0.0026674989905012283,0.0008692573365375498,0.0017982416605503348
83,0.002623284667558772,0.0008735785839809595,0.0017497060802078952
84,0.002751418023590783,0.0009092483149862872,0.001842169705962174
85,0.002581347606610507,0.0008428229572018609,0.001738524646574852
86,0.0025780759010414936,0.0008738050793334352,0.0017042708163468264
87,0.002577989677114314,0.0008543662222923319,0.001723623456813297
88,0.002747095643395656,0.0009686812036977101,0.0017784144377066312
89,0.002490374934246862,0.0008383022742284658,0.0016520726537380956
90,0.002445860770776084,0.0007930524448104399,0.00165280832075759
91,0.0025679538216392852,0.0008223541391137252,0.0017455996731051096
92,0.002392877275154828,0.0007895017313115347,0.001603375543230581
93,0.002416908293717394,0.0008175767121812034,0.001599331583680683
94,0.00308884667725866,0.001048594090925211,0.002040252588439647
95,0.0025049971048965265,0.0008293239844007124,0.0016756731183513215
96,0.003265760177256245,0.001000153109443521,0.0022656070629110264
97,0.0032508090689876363,0.0010444451702489076,0.002206363889241689
98,0.0025587662257940363,0.000865142899381585,0.0016936233250338486
99,0.002672775084226343,0.0009754052379560706,0.0016973698494870118
100,0.0023377498280943224,0.0007701821233096876,0.0015675677099926887
101,0.002433012223704473,0.0008347969753422627,0.0015982152465240736
102,0.002363617625317267,0.0008144555791850986,0.0015491620446003876
103,0.0022756185235553667,0.0007579133953090365,0.0015177051291653985
104,0.002311796244650491,0.0007846388919891692,0.001527157357065191
105,0.0022813928963028285,0.0007873152537381669,0.001494077638122498
106,0.0022702870694430253,0.0007794494584423343,0.001490837611613403
107,0.0029569889155314547,0.0009239567942323016,0.0020330321239797693
108,0.002488291917344261,0.0007889850319387685,0.001699306888928588
109,0.0022279852988982673,0.0007413953639211525,0.001486589936307849
110,0.0023261582485008003,0.0008215067484630517,0.0015046515051692136
111,0.0023307521092264276,0.0007390789289370572,0.0015916731775321654
112,0.0025228817591835795,0.0008299747022408011,0.0016929070627635444
113,0.0024993382051194967,0.000915081440134121,0.0015842567553351584
114,0.0021772914210726555,0.0007127931191797344,0.0014644982982549425
115,0.0021179653342666203,0.0006971315324527064,0.0014208338064092554
116,0.002200103893349143,0.0007420535030848298,0.0014580503882729988
117,0.0020571774570271374,0.0006926015208591707,0.0013645759336405286
118,0.002036974577870416,0.0006791911283998113,0.0013577834453347972
119,0.0020903897146988463,0.0007184499182346228,0.0013719398012127433
120,0.0020514743424045216,0.000686617057209859,0.00136485728619032
121,0.002049651147650653,0.0006913443650486634,0.0013583067835210578
122,0.0020821170875263448,0.0007013487643378444,0.0013807683254861713
123,0.002147914044632527,0.0007882837602856421,0.001359630283887351
124,0.002027355729430718,0.0007176161527719446,0.0013097395725804074
125,0.0019885583982900963,0.0006806537882718993,0.001307904607873704
126,0.00201763532639138,0.0006626257927181493,0.0013550095385749285
127,0.0019894725447030443,0.0006646754998272579,0.0013247970473266354
128,0.0019372463848221263,0.0006632630774555237,0.001273983308592027
129,0.0019125850914095185,0.000667746710333679,0.0012448383827607982
130,0.001969107841509149,0.0006926419804681484,0.0012764658647172742
131,0.001946924493255976,0.0006467765662819148,0.001300147923297788
132,0.0020752181568624156,0.0006476306598510985,0.0014275874951731806
133,0.001990826581114609,0.0006340152712302944,0.0013568113031061856
134,0.0026211041228012427,0.0008218638827154216,0.00179924024330256
135,0.001969980339728002,0.0006553111196569118,0.001314669222828295
136,0.0018843849149753193,0.0006437237274918803,0.001240661180552132
137,0.0018035683333628664,0.0006185192470806406,0.0011850490853631574
138,0.002027677517004409,0.0007087811743411677,0.001318896344041844
139,0.001792177728738783,0.000622125384459076,0.0011700523436287001
140,0.00182171323594,0.0006343650489150988,0.0011873481822763815
141,0.0018622145418224758,0.0006244977862623177,0.0012377167604618558
142,0.0027095151066436974,0.0008620313897967878,0.001847483715851252
143,0.0018010553425962202,0.0005991768749050894,0.0012018784702951578
144,0.0019130275590884451,0.0006735541408967325,0.0012394734158940417
145,0.0019194145784958412,0.000651343285081614,0.001268071292495159
146,0.0017998063452786912,0.0006364368851982841,0.0011633694591613388
147,0.0017537852939169265,0.0006020908982272407,0.001151694395996042
148,0.001831211680607674,0.0006323026084206312,0.0011989090734890564
149,0.0017504720394131972,0.0006032520695283127,0.0011472199733313908
150,0.0017348225534844555,0.0006134484235908052,0.0011213741329572115
151,0.0017202265125601307,0.0005915715072708401,0.001128655006361537
152,0.0021508158821808665,0.0007841425587876553,0.0013666733253845259
