# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
17.193750;28.136245;38.995132;-0.507786;0.005889;8.000000;0.000000
17.393677;28.310991;38.898002;-0.506953;0.002451;8.000000;0.000000
17.593604;28.485786;38.800957;-0.506806;-0.000987;8.000000;0.000000
17.793532;28.660561;38.703878;-0.507347;-0.004425;8.000000;0.000000
17.993459;28.835249;38.606644;-0.508576;-0.007862;8.000000;0.000000
18.193386;29.009807;38.509163;-0.509979;-0.006172;8.000000;0.000000
18.393314;29.184244;38.411466;-0.511044;-0.004481;8.000000;0.000000
18.593241;29.358593;38.313614;-0.511771;-0.002791;8.000000;0.000000
18.793168;29.532886;38.215665;-0.512160;-0.001100;8.000000;0.000000
18.993096;29.707157;38.117678;-0.512211;0.000590;8.000000;0.000000
19.193023;29.881438;38.019712;-0.511924;0.002281;8.000000;0.000000
19.392950;30.055761;37.921827;-0.511299;0.003972;8.000000;0.000000
19.592877;30.230161;37.824082;-0.510336;0.005662;8.000000;0.000000
19.792805;30.404669;37.726535;-0.509035;0.007353;8.000000;0.000000
19.992732;30.579319;37.629245;-0.507396;0.009032;8.000000;0.000000
20.192659;30.754163;37.532249;-0.505574;0.009190;8.000000;0.000000
20.392587;30.929184;37.435576;-0.503721;0.009347;8.000000;0.000000
20.592514;31.104382;37.339231;-0.501836;0.009505;8.000000;0.000000
20.792441;31.279759;37.243221;-0.499920;0.009663;8.000000;0.000000
20.992369;31.455317;37.147553;-0.497972;0.009821;8.000000;0.000000
21.192296;31.631058;37.052232;-0.495993;0.009979;8.000000;0.000000
21.392223;31.806983;36.957265;-0.493982;0.010138;8.000000;0.000000
21.592151;31.983094;36.862658;-0.491940;0.010296;8.000000;0.000000
21.792078;32.159394;36.768417;-0.489866;0.010455;8.000000;0.000000
21.992005;32.335883;36.674548;-0.487760;0.010630;8.000000;0.000000
22.191933;32.512585;36.581053;-0.485528;0.011695;8.000000;0.000000
22.391860;32.689501;36.487974;-0.483084;0.012760;8.000000;0.000000
22.591787;32.866651;36.395349;-0.480427;0.013824;8.000000;0.000000
22.791715;33.044056;36.303213;-0.477557;0.014888;8.000000;0.000000
22.991642;33.221737;36.211604;-0.474474;0.015950;8.000000;0.000000
23.191569;33.399717;36.120559;-0.471179;0.017012;8.000000;0.000000
23.391497;33.578015;36.030114;-0.467672;0.018071;8.000000;0.000000
23.591424;33.756654;35.940307;-0.463953;0.019129;8.000000;0.000000
23.791351;33.935654;35.851174;-0.460023;0.020184;8.000000;0.000000
23.991279;34.115033;35.762754;-0.455881;0.021084;8.000000;0.000000
24.191206;34.294641;35.675123;-0.452116;0.016598;8.000000;0.000000
24.391133;34.474566;35.588074;-0.449246;0.012117;8.000000;0.000000
24.591061;34.654727;35.501449;-0.447272;0.007640;8.000000;0.000000
24.790988;34.835040;35.415090;-0.446192;0.003166;8.000000;0.000000
24.990915;35.015423;35.328838;-0.446006;-0.001305;8.000000;0.000000
25.190842;35.195794;35.242534;-0.446714;-0.005776;8.000000;0.000000
25.390770;35.376069;35.156020;-0.448316;-0.010246;8.000000;0.000000
25.590697;35.556167;35.069136;-0.450812;-0.014718;8.000000;0.000000
25.790624;35.736005;34.981724;-0.454202;-0.019191;8.000000;0.000000
25.990552;35.915502;34.893625;-0.458486;-0.023425;8.000000;0.000000
26.190479;36.094680;34.804696;-0.462783;-0.019537;8.000000;0.000000
26.390406;36.273500;34.715071;-0.466302;-0.015649;8.000000;0.000000
26.590334;36.452028;34.624893;-0.469043;-0.011762;8.000000;0.000000
26.790261;36.630327;34.534303;-0.471006;-0.007874;8.000000;0.000000
26.990188;36.808462;34.443443;-0.472192;-0.003985;8.000000;0.000000
27.190116;36.986496;34.352456;-0.472600;-0.000093;8.000000;0.000000
27.390043;37.164495;34.261483;-0.472229;0.003803;8.000000;0.000000
27.589970;37.342522;34.170666;-0.471079;0.007703;8.000000;0.000000
27.789898;37.520642;34.080146;-0.469150;0.011610;8.000000;0.000000
27.989825;37.698928;33.990062;-0.466441;0.015420;8.000000;0.000000
28.189752;37.877674;33.900417;-0.463262;0.016371;8.000000;0.000000
28.389680;38.056668;33.811379;-0.459894;0.017319;8.000000;0.000000
28.589607;38.235938;33.722977;-0.456338;0.018263;8.000000;0.000000
28.789534;38.415512;33.635238;-0.452594;0.019202;8.000000;0.000000
28.989462;38.595418;33.548190;-0.448663;0.020135;8.000000;0.000000
29.189389;38.775683;33.461863;-0.444546;0.021062;8.000000;0.000000
29.389316;38.956335;33.376283;-0.440244;0.021981;8.000000;0.000000
29.589244;39.137401;33.291478;-0.435758;0.022893;8.000000;0.000000
29.789171;39.318910;33.207478;-0.431088;0.023796;8.000000;0.000000
29.989098;39.500871;33.124318;-0.426238;0.024733;8.000000;0.000000
30.189025;39.683011;33.042167;-0.421126;0.026438;8.000000;0.000000
30.388953;39.865651;32.960950;-0.415670;0.028152;8.000000;0.000000
30.588880;40.048794;32.880740;-0.409870;0.029875;8.000000;0.000000
30.788807;40.232445;32.801612;-0.403722;0.031608;8.000000;0.000000
30.988735;40.416608;32.723640;-0.397227;0.033353;8.000000;0.000000
31.188662;40.601288;32.646897;-0.390381;0.035110;8.000000;0.000000
31.388589;40.786489;32.571459;-0.383183;0.036879;8.000000;0.000000
31.588517;40.972216;32.497398;-0.375632;0.038660;8.000000;0.000000
31.788444;41.158472;32.424790;-0.367724;0.040455;8.000000;0.000000
31.988371;41.345270;32.353705;-0.359460;0.041972;8.000000;0.000000
32.188299;41.532710;32.284141;-0.351397;0.038674;8.000000;0.000000
32.388226;41.720648;32.216040;-0.343997;0.035361;8.000000;0.000000
32.588153;41.909044;32.149275;-0.337262;0.032037;8.000000;0.000000
32.788081;42.097861;32.083720;-0.331191;0.028706;8.000000;0.000000
32.988008;42.287059;32.019246;-0.325787;0.025369;8.000000;0.000000
33.187935;42.476599;31.955726;-0.321049;0.022030;8.000000;0.000000
33.387863;42.666441;31.893034;-0.316979;0.018691;8.000000;0.000000
33.587790;42.856548;31.831041;-0.313575;0.015352;8.000000;0.000000
33.787717;43.046879;31.769621;-0.310838;0.012016;8.000000;0.000000
33.987645;43.237387;31.708649;-0.308766;0.009026;8.000000;0.000000
34.187572;43.427911;31.648081;-0.306766;0.010980;8.000000;0.000000
34.387499;43.618596;31.587923;-0.304375;0.012935;8.000000;0.000000
34.587427;43.809453;31.528253;-0.301593;0.014892;8.000000;0.000000
34.787354;44.000493;31.469149;-0.298419;0.016853;8.000000;0.000000
34.987281;44.191728;31.410690;-0.294853;0.018817;8.000000;0.000000
35.187209;44.383168;31.352956;-0.290893;0.020785;8.000000;0.000000
35.387136;44.574825;31.296024;-0.286541;0.022759;8.000000;0.000000
35.587063;44.766710;31.239973;-0.281793;0.024738;8.000000;0.000000
35.786990;44.958834;31.184881;-0.276651;0.026722;8.000000;0.000000
35.986918;45.151224;31.130824;-0.271115;0.028285;8.000000;0.000000
36.186845;45.344082;31.077774;-0.265910;0.023758;8.000000;0.000000
36.386772;45.537155;31.025649;-0.261612;0.019223;8.000000;0.000000
36.586700;45.730401;30.974275;-0.258222;0.014683;8.000000;0.000000
36.786627;45.923775;30.923473;-0.255740;0.010138;8.000000;0.000000
36.986554;46.117235;30.873068;-0.254168;0.005591;8.000000;0.000000
37.186482;46.310739;30.822883;-0.253505;0.001042;8.000000;0.000000
37.386409;46.504241;30.772741;-0.253751;-0.003508;8.000000;0.000000
37.586336;46.697700;30.722465;-0.254907;-0.008059;8.000000;0.000000
37.786264;46.891073;30.671879;-0.256973;-0.012610;8.000000;0.000000
37.986191;47.084330;30.620803;-0.259941;-0.016174;8.000000;0.000000
38.186118;47.277607;30.569120;-0.262366;-0.008071;8.000000;0.000000
38.386046;47.470793;30.517127;-0.263170;0.000032;8.000000;0.000000
38.585973;47.663959;30.465141;-0.262353;0.008139;8.000000;0.000000
38.785900;47.857178;30.413478;-0.259914;0.016255;8.000000;0.000000
38.985828;48.050521;30.362455;-0.255851;0.024383;8.000000;0.000000
39.185755;48.244063;30.312387;-0.250163;0.032524;8.000000;0.000000
39.385682;48.437873;30.263592;-0.242849;0.040677;8.000000;0.000000
39.585610;48.632026;30.216385;-0.233906;0.048836;8.000000;0.000000
39.785537;48.826593;30.171084;-0.223335;0.056992;8.000000;0.000000
39.985464;49.021642;30.128005;-0.211155;0.063444;8.000000;0.000000
40.185392;49.217165;30.087329;-0.199357;0.054701;8.000000;0.000000
40.385319;49.413161;30.048784;-0.189305;0.045950;8.000000;0.000000
40.585246;49.609559;30.012029;-0.180997;0.037205;8.000000;0.000000
40.785174;49.806287;29.976724;-0.174434;0.028474;8.000000;0.000000
40.985101;50.003274;29.942529;-0.169613;0.019759;8.000000;0.000000
41.185028;50.200449;29.909103;-0.166531;0.011061;8.000000;0.000000
41.384955;50.397741;29.876106;-0.165187;0.002375;8.000000;0.000000
41.584883;50.595078;29.843198;-0.165580;-0.006304;8.000000;0.000000
41.784810;50.792389;29.810039;-0.167710;-0.014981;8.000000;0.000000
41.984737;50.989584;29.776291;-0.171554;-0.021920;8.000000;0.000000
42.184665;51.186495;29.741771;-0.175341;-0.015966;8.000000;0.000000
42.384592;51.383294;29.706622;-0.177938;-0.010010;8.000000;0.000000
42.584519;51.580024;29.671079;-0.179344;-0.004054;8.000000;0.000000
42.784447;51.776727;29.635377;-0.179559;0.001901;8.000000;0.000000
42.984374;51.973445;29.599749;-0.178583;0.007857;8.000000;0.000000
43.184301;52.170222;29.564429;-0.176417;0.013811;8.000000;0.000000
43.384229;52.367101;29.529652;-0.173061;0.019765;8.000000;0.000000
43.584156;52.564123;29.495652;-0.168514;0.025715;8.000000;0.000000
43.784083;52.761331;29.462663;-0.162778;0.031660;8.000000;0.000000
43.984011;52.958742;29.430923;-0.155875;0.036024;8.000000;0.000000
44.183938;53.156227;29.400575;-0.149293;0.029859;8.000000;0.000000
44.383865;53.353931;29.371399;-0.143941;0.023700;8.000000;0.000000
44.583793;53.551810;29.343155;-0.139819;0.017550;8.000000;0.000000
44.783720;53.749823;29.315600;-0.136925;0.011406;8.000000;0.000000
44.983647;53.947927;29.288493;-0.135258;0.005270;8.000000;0.000000
45.183575;54.146081;29.261591;-0.134817;-0.000863;8.000000;0.000000
45.383502;54.344242;29.234654;-0.135603;-0.006994;8.000000;0.000000
45.583429;54.542368;29.207439;-0.137615;-0.013126;8.000000;0.000000
45.783357;54.740416;29.179705;-0.140853;-0.019260;8.000000;0.000000
45.983284;54.938350;29.151210;-0.145299;-0.023938;8.000000;0.000000
46.183211;55.136164;29.121814;-0.149580;-0.018877;8.000000;0.000000
46.383139;55.333855;29.091673;-0.152849;-0.013814;8.000000;0.000000
46.583066;55.531452;29.060988;-0.155105;-0.008750;8.000000;0.000000
46.782993;55.728984;29.029959;-0.156349;-0.003685;8.000000;0.000000
46.982920;55.926479;28.998786;-0.156579;0.001381;8.000000;0.000000
47.182848;56.123968;28.967670;-0.155796;0.006450;8.000000;0.000000
47.382775;56.321478;28.936812;-0.154000;0.011521;8.000000;0.000000
47.582702;56.519039;28.906412;-0.151190;0.016595;8.000000;0.000000
47.782630;56.716679;28.876671;-0.147366;0.021672;8.000000;0.000000
47.982557;56.914441;28.847786;-0.142539;0.025862;8.000000;0.000000
48.182484;57.112408;28.819887;-0.137530;0.024240;8.000000;0.000000
48.382412;57.310500;28.792948;-0.132847;0.022616;8.000000;0.000000
48.582339;57.508709;28.766906;-0.128488;0.020991;8.000000;0.000000
48.782266;57.707025;28.741695;-0.124454;0.019364;8.000000;0.000000
48.982194;57.905442;28.717252;-0.120746;0.017736;8.000000;0.000000
49.182121;58.103950;28.693512;-0.117363;0.016108;8.000000;0.000000
49.382048;58.302541;28.670411;-0.114305;0.014481;8.000000;0.000000
49.581976;58.501206;28.647883;-0.111572;0.012853;8.000000;0.000000
49.781903;58.699939;28.625865;-0.109165;0.011226;8.000000;0.000000
